xenobiotics_metabolism	oxidative_stress	xenobiotics_transporter
UGT2B11	TREX1	LCN15
UGT2B15	TRPA1	LCN9
UGT2B17	TRPM2	MFSD4B
UGT2B28	TXN	PDZD11
UGT2B7	UCP1	RHAG
UMPS	ZNF277	RHBG
VAV1	ZNF580	RHCG
VAV2	ADCYAP1R1	RSC1A1
VKORC1	SESN1	RUNX1
WNK4	SESN2	SLC10A6
DHDH	SESN3	SLC11A1
MPO	ABCC1	SLC11A2
ABAT	ATOX1	SLC12A1
ABCA2	CDKN2D	SLC12A2
ABCA3	EGLN2	SLC12A3
ABCC6	ERCC2	SLC12A4
ABCC8	FES	SLC12A5
ABCC9	FTL	SLC12A6
ABCD3	GCLC	SLC12A7
ABCG5	GCLM	SLC13A1
ABCG8	GLRX	SLC13A2
ABL1	GPX3	SLC13A3
ACACB	GPX4	SLC13A4
ACE	GSR	SLC13A5
ADAM17	HHEX	SLC14A1
ADCY1	HMOX2	SLC14A2
ADCYAP1R1	IPCEF1	SLC15A1
ADD3	JUNB	SLC15A3
ADORA2A	LAMTOR5	SLC15A4
ADRA1A	LSP1	SLC16A1
AGPAT2	MBP	SLC16A10
ALAD	MGST1	SLC16A2
AMELX	MSRA	SLC16A3
AMH	NDUFA6	SLC16A7
APOA2	NDUFB4	SLC16A8
ASS1	NDUFS2	SLC17A1
ATG5	OXSR1	SLC17A5
ATP1A1	PDLIM1	SLC17A6
ATP4A	PFKP	SLC17A7
ATR	PRDX4	SLC17A8
BAK1	PRDX6	SLC18A2
BCAR3	PRNP	SLC1A1
BCL2	PTPA	SLC1A2
BECN1	SBNO2	SLC1A3
BGLAP	SCAF4	SLC1A4
BLMH	SELENOS	SLC1A5
BLOC1S3	SRXN1	SLC1A6
C1orf115	TXNRD1	SLC1A7
CA9	TXNRD2	SLC20A1
CALR	ERCC6	SLC20A2
CARD9	UCP2	SLC22A11
CASP3	UCP3	SLC22A12
CAT	AQP8	SLC22A15
CCND1	CYBA	SLC22A16
CCNO	CYBB	SLC22A7
CCNT1	CYCS	SLC24A1
CD38	ERO1A	SLC24A2
CDH1	GPX1	SLC24A3
CDH3	GPX2	SLC24A4
CDK1	GPX5	SLC24A5
CDK4	GPX6	SLC25A10
CDKN1A	GPX7	SLC25A18
CDKN1B	GPX8	SLC25A22
CENPF	GSTP1	SLC25A26
CHUK	NCF2	SLC25A29
COL18A1	NCF4	SLC25A4
COL1A1	NOX4	SLC25A5
CPB2	NOX5	SLC25A6
CPS1	NUDT2	SLC26A1
CPT1A	P4HB	SLC26A11
CREB1	TXN2	SLC26A2
CSAG2	ACKR3	SLC26A3
CSAG3	ADM	SLC26A4
CTNNB1	ADORA2B	SLC26A6
CTPS1	AK4	SLC26A7
CYBB	AKAP12	SLC26A9
DNMT3A	ALDOA	SLC27A1
DRD1	ALDOB	SLC27A4
DRD2	ALDOC	SLC27A6
DRD3	AMPD3	SLC28A1
DUSP6	ANGPTL4	SLC29A3
DVL3	ANXA2	SLC2A10
EMX1	ATF3	SLC2A11
EMX2	B3GALT6	SLC2A12
ENG	B4GALNT2	SLC2A13
FECH	BCAN	SLC2A14
FGF8	BGN	SLC2A2
FOS	BHLHE40	SLC2A3
FOSB	BNIP3L	SLC2A4
FOSL1	BRS3	SLC2A6
FOSL2	BTG1	SLC2A7
FZD1	CA12	SLC2A8
FZD3	CASP6	SLC2A9
GABRG3	CAV1	SLC30A1
GAD2	CAVIN1	SLC30A10
GAL	CAVIN3	SLC30A2
GATA4	CCN1	SLC30A3
GATA6	CCN2	SLC30A5
GCLC	CCN5	SLC30A8
GCLM	CCNG2	SLC32A1
GIP	CDKN1A	SLC33A1
GNA12	CDKN1B	SLC34A1
GNPAT	CDKN1C	SLC34A2
GPR52	CHST2	SLC34A3
GPX1	CHST3	SLC35A1
GRIA1	CITED2	SLC35A2
GRIN2A	COL5A1	SLC35A3
GRM2	CP	SLC35B2
HADH	CSRP2	SLC35B3
HADHA	CXCR4	SLC35B4
HDAC2	DCN	SLC35C1
HDAC5	DDIT3	SLC35D1
HMGCS2	DDIT4	SLC35D2
HSD11B2	DPYSL4	SLC36A2
HSP90AA1	DTNA	SLC36A4
HSPG2	DUSP1	SLC38A1
HTR2A	EDN2	SLC38A2
HTR2B	EFNA1	SLC38A3
IGFBP2	EFNA3	SLC38A4
IL10	ENO1	SLC38A5
ITGA2	ENO2	SLC39A1
ITGA3	ENO3	SLC39A10
KCNJ11	ERRFI1	SLC39A14
KCNJ8	ETS1	SLC39A2
KCNK3	EXT1	SLC39A3
LCK	F3	SLC39A4
LHCGR	FAM162A	SLC39A5
LIPA	FBP1	SLC39A6
LOX	FOSL2	SLC39A7
LRP8	FOXO3	SLC39A8
LTA	GAA	SLC3A1
LYN	GALK1	SLC3A2
MAOB	GAPDH	SLC40A1
MAP1B	GAPDHS	SLC41A1
MAP2K6	GBE1	SLC41A2
MAS1	GCK	SLC43A1
MBD1	GCNT2	SLC43A2
MDM2	GPC1	SLC44A1
MIR1-1	GPC3	SLC44A2
MIR129-1	GPC4	SLC44A3
MIR133A1	GPI	SLC44A4
MIR133B	GRHPR	SLC44A5
MIR185	GYS1	SLC45A3
MIR186	HAS1	SLC4A1
MIR326	HDLBP	SLC4A10
MIR34B	HEXA	SLC4A2
MIR451A	HK1	SLC4A3
MIR495	HMOX1	SLC4A4
MIR508	HOXB9	SLC4A5
MIR873	HS3ST1	SLC4A7
MIR9-1	HSPA5	SLC4A8
MMP2	IDS	SLC4A9
MTHFR	IER3	SLC50A1
MYO6	IGFBP1	SLC5A1
NCKAP1L	IGFBP3	SLC5A10
NEUROD1	ILVBL	SLC5A11
NFATC2	INHA	SLC5A12
NFKBIZ	IRS2	SLC5A2
NKX6-1	ISG20	SLC5A3
NNMT	JMJD6	SLC5A4
NPAS2	KDELR3	SLC5A5
NPC1	KDM3A	SLC5A6
NPPC	KIF5A	SLC5A7
NTRK1	KLF6	SLC5A8
OGG1	KLF7	SLC5A9
OTC	KLHL24	SLC6A1
OXSR1	LALBA	SLC6A12
OXTR	LARGE1	SLC6A14
P2RX7	LDHA	SLC6A15
PARP4	LDHC	SLC6A18
PCSK1	LOX	SLC6A19
PDE3A	LXN	SLC6A2
PDX1	MAFF	SLC6A20
PFAS	MAP3K1	SLC6A3
PLIN2	MIF	SLC6A5
PMS1	MT1E	SLC6A7
PMS2	MT2A	SLC6A9
PNP	MXI1	SLC7A1
PRICKLE1	MYH9	SLC7A10
PRKCB	NAGK	SLC7A11
PTCH1	NCAN	SLC7A2
PTGS2	NDRG1	SLC7A3
PTH	NDST1	SLC7A6
PTK2B	NDST2	SLC7A7
PTPRM	NEDD4L	SLC7A8
RAB6C	NFIL3	SLC7A9
RAD54B	NOCT	SLC8A1
RAD54L	NR3C1	SLC8A2
RELA	P4HA1	SLC8A3
RET	P4HA2	SLC8B1
RHBDD3	PAM	SLC9A1
RPP21	PCK1	SLC9A2
RPS6KB1	PDGFB	SLC9A3
RPTOR	PDK1	SLC9A4
SCGB1A1	PDK3	SLC9A5
SCN11A	PFKFB3	SLC9A6
SCNN1B	PFKL	SLC9A7
SEMA3C	PGAM2	SLC9A8
SFRP1	PGF	SLC9A9
SFRP2	PGK1	SLCO1A2
SHANK2	PGM1	SLCO1B1
SLC12A5	PGM2	SLCO1B3
SLC1A1	PHKG1	SLCO1C1
SLC1A2	PIM1	SLCO2A1
SLC1A3	PKLR	SLCO2B1
SLC22A12	PKP1	SLCO3A1
SLC26A5	PLAC8	SLCO4A1
SLC34A1	PLAUR	SLCO4C1
SLC6A11	PLIN2	SRI
SLC6A2	PNRC1	
SLC6A3	PPARGC1A	
SLC6A4	PPFIA4	
SLITRK5	PPP1R15A	
SMPD1	PPP1R3C	
SMTNL1	PRKCA	
SNCA	PYGM	
SOD1	RBPJ	
SOD2	RORA	
SRC	RRAGD	
SRD5A1	S100A4	
SRD5A2	SAP30	
SREBF1	SCARB1	
SRP68	SDC2	
SRR	SDC3	
SS18	SDC4	
SST	SELENBP1	
STAT1	SERPINE1	
TBXA2R	SIAH2	
TENT4A	SLC25A1	
TFAP2B	SLC2A1	
TGFBR2	SLC2A3	
TGIF1	SLC2A5	
THBS1	SLC37A4	
TIGAR	SLC6A6	
TNF	SRPX	
TNFRSF11B	STBD1	
TOP1	STC1	
TP53I13	STC2	
TP73	SULT2B1	
